_start,_end,_type,link,status,start_date,end_date,sourceID
214687,43356,intermediary_of,intermediary of,,,,Panama Papers
214494,39081,intermediary_of,intermediary of,,,,Panama Papers
216654,40164,intermediary_of,intermediary of,,,,Panama Papers
216319,40718,intermediary_of,intermediary of,,,,Panama Papers
225286,41696,intermediary_of,intermediary of,,,,Panama Papers
214687,41698,intermediary_of,intermediary of,,,,Panama Papers
219333,43537,intermediary_of,intermediary of,,,,Panama Papers
222155,43619,intermediary_of,intermediary of,,,,Panama Papers
227816,44263,intermediary_of,intermediary of,,,,Panama Papers
221130,41219,intermediary_of,intermediary of,,,,Panama Papers
214687,42724,intermediary_of,intermediary of,,,,Panama Papers
219219,42707,intermediary_of,intermediary of,,,,Panama Papers
214687,42860,intermediary_of,intermediary of,,,,Panama Papers
227093,43561,intermediary_of,intermediary of,,,,Panama Papers
227093,43764,intermediary_of,intermediary of,,,,Panama Papers
214687,38059,intermediary_of,intermediary of,,,,Panama Papers
226106,37456,intermediary_of,intermediary of,,,,Panama Papers
225985,37948,intermediary_of,intermediary of,,,,Panama Papers
214687,38123,intermediary_of,intermediary of,,,,Panama Papers
214494,43747,intermediary_of,intermediary of,,,,Panama Papers
214494,43987,intermediary_of,intermediary of,,,,Panama Papers
215875,45070,intermediary_of,intermediary of,,,,Panama Papers
216319,44006,intermediary_of,intermediary of,,,,Panama Papers
222156,44117,intermediary_of,intermediary of,,,,Panama Papers
215645,43247,intermediary_of,intermediary of,,,,Panama Papers
214687,43742,intermediary_of,intermediary of,,,,Panama Papers
226106,44620,intermediary_of,intermediary of,,,,Panama Papers
225286,43135,intermediary_of,intermediary of,,,,Panama Papers
222155,43133,intermediary_of,intermediary of,,,,Panama Papers
218590,43317,intermediary_of,intermediary of,,,,Panama Papers
221940,45244,intermediary_of,intermediary of,,,,Panama Papers
221410,44352,intermediary_of,intermediary of,,,,Panama Papers
221410,45383,intermediary_of,intermediary of,,,,Panama Papers
221410,45386,intermediary_of,intermediary of,,,,Panama Papers
227093,45391,intermediary_of,intermediary of,,,,Panama Papers
221410,45587,intermediary_of,intermediary of,,,,Panama Papers
227093,44667,intermediary_of,intermediary of,,,,Panama Papers
227093,44688,intermediary_of,intermediary of,,,,Panama Papers
227093,44689,intermediary_of,intermediary of,,,,Panama Papers
225287,45000,intermediary_of,intermediary of,,,,Panama Papers
216156,45428,intermediary_of,intermediary of,,,,Panama Papers
228588,45478,intermediary_of,intermediary of,,,,Panama Papers
216658,45505,intermediary_of,intermediary of,,,,Panama Papers
216319,45174,intermediary_of,intermediary of,,,,Panama Papers
227093,45183,intermediary_of,intermediary of,,,,Panama Papers
227093,45186,intermediary_of,intermediary of,,,,Panama Papers
226056,41276,intermediary_of,intermediary of,,,,Panama Papers
216319,42397,intermediary_of,intermediary of,,,,Panama Papers
215815,45055,intermediary_of,intermediary of,,,,Panama Papers
217157,44991,intermediary_of,intermediary of,,,,Panama Papers
222169,46359,intermediary_of,intermediary of,,,,Panama Papers
217253,45778,intermediary_of,intermediary of,,,,Panama Papers
221130,46230,intermediary_of,intermediary of,,,,Panama Papers
214494,46586,intermediary_of,intermediary of,,,,Panama Papers
215645,46276,intermediary_of,intermediary of,,,,Panama Papers
215875,46732,intermediary_of,intermediary of,,,,Panama Papers
226056,46770,intermediary_of,intermediary of,,,,Panama Papers
221410,46953,intermediary_of,intermediary of,,,,Panama Papers
228588,47156,intermediary_of,intermediary of,,,,Panama Papers
216319,46391,intermediary_of,intermediary of,,,,Panama Papers
216319,46394,intermediary_of,intermediary of,,,,Panama Papers
218046,46833,intermediary_of,intermediary of,,,,Panama Papers
218046,47072,intermediary_of,intermediary of,,,,Panama Papers
227456,47194,intermediary_of,intermediary of,,,,Panama Papers
221410,47179,intermediary_of,intermediary of,,,,Panama Papers
228588,44986,intermediary_of,intermediary of,,,,Panama Papers
221410,46292,intermediary_of,intermediary of,,,,Panama Papers
215645,47018,intermediary_of,intermediary of,,,,Panama Papers
216319,43886,intermediary_of,intermediary of,,,,Panama Papers
214687,46920,intermediary_of,intermediary of,,,,Panama Papers
221410,45645,intermediary_of,intermediary of,,,,Panama Papers
227093,46006,intermediary_of,intermediary of,,,,Panama Papers
225409,46685,intermediary_of,intermediary of,,,,Panama Papers
221410,47196,intermediary_of,intermediary of,,,,Panama Papers
218907,48013,intermediary_of,intermediary of,,,,Panama Papers
218469,48238,intermediary_of,intermediary of,,,,Panama Papers
219520,47876,intermediary_of,intermediary of,,,,Panama Papers
218046,48959,intermediary_of,intermediary of,,,,Panama Papers
214687,47269,intermediary_of,intermediary of,,,,Panama Papers
221410,47612,intermediary_of,intermediary of,,,,Panama Papers
222156,47858,intermediary_of,intermediary of,,,,Panama Papers
222156,47859,intermediary_of,intermediary of,,,,Panama Papers
218513,48242,intermediary_of,intermediary of,,,,Panama Papers
