geonameid,name,country,subcountry,country_code
3855554,Firmat,Argentina,Santa Fe,ARG
3855666,Famaillá,Argentina,Tucuman,ARG
3855974,Esquel,Argentina,Chubut,ARG
3856022,Esperanza,Argentina,Santa Fe,ARG
3856231,Embarcación,Argentina,Salta,ARG
3856235,Embalse,Argentina,Cordoba,ARG
3858765,El Bolsón,Argentina,Rio Negro,ARG
3859384,Diamante,Argentina,Entre Rios,ARG
3859512,Deán Funes,Argentina,Cordoba,ARG
3859552,Cutral-Có,Argentina,Neuquen,ARG
3859828,Cruz del Eje,Argentina,Cordoba,ARG
3859904,Crespo,Argentina,Entre Rios,ARG
3859965,Cosquín,Argentina,Cordoba,ARG
3860164,Coronel Suárez,Argentina,Buenos Aires,ARG
3860217,Coronda,Argentina,Santa Fe,ARG
3860259,Córdoba,Argentina,Cordoba,ARG
3860443,Comodoro Rivadavia,Argentina,Chubut,ARG
3861056,Cipolletti,Argentina,Rio Negro,ARG
3861061,Cinco Saltos,Argentina,Rio Negro,ARG
3861344,Chivilcoy,Argentina,Buenos Aires,ARG
3861416,Chimbas,Argentina,San Juan,ARG
3861445,Chilecito,Argentina,La Rioja,ARG
3861678,Charata,Argentina,Chaco,ARG
3861953,Chacabuco,Argentina,Buenos Aires,ARG
3862144,Centenario,Argentina,Neuquen,ARG
3862240,Caucete,Argentina,San Juan,ARG
3862254,Catriel,Argentina,Rio Negro,ARG
3862320,Castelli,Argentina,Chaco,ARG
3862351,Casilda,Argentina,Santa Fe,ARG
3862655,Carcarañá,Argentina,Santa Fe,ARG
3862738,Capitán Bermúdez,Argentina,Santa Fe,ARG
3862981,Cañada de Gómez,Argentina,Santa Fe,ARG
3863379,Caleta Olivia,Argentina,Santa Cruz,ARG
3864331,Bell Ville,Argentina,Cordoba,ARG
3864375,Bella Vista,Argentina,Tucuman,ARG
3865086,Bahía Blanca,Argentina,Buenos Aires,ARG
3865385,Arroyo Seco,Argentina,Santa Fe,ARG
3865424,Arroyito,Argentina,Cordoba,ARG
3865840,Añatuya,Argentina,Santiago del Estero,ARG
3866163,Alta Gracia,Argentina,Cordoba,ARG
3866242,Allen,Argentina,Rio Negro,ARG
3866367,Alderetes,Argentina,Tucuman,ARG
3866425,Albardón,Argentina,San Juan,ARG
3866496,Aguilares,Argentina,Tucuman,ARG
6693228,Balvanera,Argentina,Buenos Aires F.D.,ARG
6693230,Villa Santa Rita,Argentina,Buenos Aires F.D.,ARG
7116866,Villa Mercedes,Argentina,San Luis,ARG
