_id,node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note
614859,200244,Spire Real Estate Ltd.,,,XXX,Undetermined,Standard Company under IBC Act,Cornhill International Limited 8 Baden Place Crosby Row London SE1 1YW England RT BVI,,13-MAR-2002,,,01-NOV-2004,Dead,Commonwealth Trust Limited,486642,XXX;GBR,Not identified;United Kingdom,Offshore Leaks,The Offshore Leaks data is current through 2010,
647522,233018,AMERICAN GOLD MINING INC,,,XXX,Undetermined,Business Company Limited by Shares,"International Business Company Formation Inc. 101 Main Street Suite One Tappan, New York  10983 USA RT BVI",,05-JUL-2007,,,01-MAY-2009,Dead,Commonwealth Trust Limited,1416767,USA;VGB,United States;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
570053,134721,Deltec Resources Limited,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,11-JUL-2001,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,453695,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
653071,134724,CHINA GEO-GEOTECHNICAL ENGINEERING LTD.,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,12-JUL-2001,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,453818,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
570164,134735,J & K Universal Corporation,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,13-JUL-2001,,,,Active,Portcullis Trustnet,454158,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
570166,134738,RECYCLE STAR LIMITED,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,13-JUL-2001,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,454162,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
605993,167508,Deutsche Kredit & Funds Management A.G.,,,COOK,Cook Islands,Standard International Company,,,01-APR-1997,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,3251978,XXX,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
629605,200280,"CSA Healthcare International, Inc.",,,XXX,Undetermined,Standard Company under IBC Act,"Westglobe Corporate Services 2929 Windstone Court Bedford, Texas 76021 U.S.A. RT BVI",,15-FEB-2002,,,01-NOV-2003,Dead,Commonwealth Trust Limited,483644,USA;XXX,United States;Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,
626256,200282,HZ System Corp.,,,XXX,Undetermined,Standard Company under IBC Act,"Westglobe Corporate Services 2929 Windstone Court Bedford, Texas 76021 U.S.A. RT BVI",,15-FEB-2002,,,01-NOV-2007,Dead,Commonwealth Trust Limited,483656,VGB;USA,British Virgin Islands;United States,Offshore Leaks,The Offshore Leaks data is current through 2010,
565031,134751,GOLD CHAIN GROUP LIMITED,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,13-JUL-2001,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,454156,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
